feature,RF,XGB,LGB,Average
valuation_per_employee,0.02843976749357374,0.0074081337,703,234.34528263373383
pitchbook_last_financing_size_usd_millions,0.025835244643875183,0.0070895324,611,203.67764159236333
employee_count_pitchbook,0.14482224844081748,0.020956757,574,191.38859300166266
valuation_growth_rate,0.041187165646950616,0.008275444,568,189.34982086977834
company_age_years,0.021584925347709862,0.0076910043,470,156.6764253098871
pitchbook_valuation_usd_millions,0.05884103330947163,0.004938916,394,131.35459331638233
pitchbook_primary_industry_group_freq,0.022867752354558204,0.013601702,393,131.01215648468707
pitchbook_primary_industry_group_encoded,0.01576458778987364,0.009510227,393,131.00842493811254
crunchbase_revenue_range_encoded,0.04274878008654109,0.017827703,318,106.02019216092424
age_squared,0.028351734488182814,0.0077863033,311,103.67871267926039
log_employees,0.17400809049170407,0.11331455,269,89.76244087904547
log_valuation,0.06457579601676254,0.0147924945,258,86.02645609683087
pitchbook_hq_country_freq,0.007215279904548641,0.008004637,236,78.67173997244655
crunchbase_revenue_range_freq,0.017846689469873746,0.0089850575,228,76.00894391564769
employees_squared,0.1576970477488162,0.19657023,213,71.1180890934198
pitchbook_hq_country_encoded,0.007281275663796865,0.009665343,174,58.005648872880975
pitchbook_primary_industry_sector_freq,0.012429987639210396,0.01256942,160,53.34166646922629
pitchbook_primary_industry_sector_encoded,0.008475168326598803,0.007505424,142,47.338660197393885
employees_x_stage,0.027608434144218267,0.00848699,132,44.01203180800993
avg_round_size_usd,0.0019838723552225426,0.0067257155,114,38.00290319594284
num_pe_investors,0.012941407558990228,0.008094458,109,36.34034528848948
months_since_last_funding,0.002008382775891304,0.0068231733,107,35.66961051867812
funding_efficiency,0.0019134072716590152,0.00544479,95,31.669119399014217
total_investors,0.0018919275133172612,0.0048311176,77,25.668907681697053
total_funding_usd,0.0018547072310343671,0.006501018,75,25.002785241766905
latest_funding_type_freq,0.0018532711729199855,0.008463994,73,24.336772421613826
latest_funding_type_encoded,0.002874940359268654,0.0113161495,67,22.338063696618267
funding_stage_encoded,0.012580569382437427,0.030577807,60,20.014386125379446
funding_recency_score,0.0018188617157187095,0.009522535,57,19.00378046554086
avg_funding_per_round,0.0018453946567576292,0.007071445,46,15.336305613295716
num_funding_rounds,0.001470734449272472,0.0053167767,46,15.335595837046137
is_tech_sector,0.0030514473628645046,0.006010405,35,11.669687284050275
company_size_category_freq,0.0006736449540306748,0.007840168,33,11.002837937561694
is_top_country,0.0022430986128481934,0.004320232,18,6.00218777693683
pe_investor_strength,0.01489331814256185,0.007434016,12,4.007442444745391
log_total_funding,0.001906388639523232,0.006360299,12,4.002755562531158
is_mature_company,0.004782412606930411,0.014062421,11,3.6729482780011016
company_size_category_encoded,0.0005744643087067096,0.010519358,8,2.6703646075460608
is_pe_backed,0.007913305583296589,0.26700628,2,0.7583065278737738
is_young_company,0.0005685062834582957,0.010806142,2,0.6704582162119932
is_growth_stage,0.0017969123052006585,0.0027916697,2,0.6681961939968648
has_pe_backing,0.008708231434191542,0.037561614,1,0.3487566151668513
is_early_stage,0.0002697843168140285,0.029618515,0,0.009962766339512694
